epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
129,17062.2,0.84075,0.63344,1.00035,0.70899,0.47337,0.52403,0.39026,0.96314,1.0639,1.11514,0.0003104,0.0003104,0.0003104
130,17193.9,0.83606,0.63336,0.9936,0.70499,0.46252,0.52957,0.39255,0.95837,1.06849,1.10578,0.0002972,0.0002972,0.0002972
131,17325.5,0.83363,0.62925,0.98977,0.72297,0.46252,0.53284,0.394,0.94648,1.0608,1.10974,0.000284,0.000284,0.000284
132,17457,0.84597,0.62165,0.99679,0.70475,0.46943,0.52985,0.39328,0.94772,1.08291,1.10663,0.0002708,0.0002708,0.0002708
133,17588.5,0.84536,0.62593,0.99321,0.72463,0.46548,0.52858,0.39499,0.94622,1.06818,1.10312,0.0002576,0.0002576,0.0002576
134,17720.3,0.83369,0.62504,0.99137,0.74045,0.4614,0.52464,0.39239,0.94054,1.06708,1.09953,0.0002444,0.0002444,0.0002444
135,17851.9,0.83615,0.61368,0.98676,0.72185,0.46746,0.52777,0.39439,0.9356,1.06611,1.09649,0.0002312,0.0002312,0.0002312
136,17983.6,0.83185,0.61466,0.98913,0.70758,0.46294,0.52521,0.3897,0.94771,1.08004,1.10478,0.000218,0.000218,0.000218
137,18115.9,0.83236,0.60895,0.9927,0.6961,0.46844,0.5232,0.38806,0.94571,1.08409,1.10147,0.0002048,0.0002048,0.0002048
138,18247.8,0.83731,0.61779,0.99128,0.73325,0.4497,0.52009,0.38525,0.95019,1.09599,1.10358,0.0001916,0.0001916,0.0001916
139,18379.4,0.82922,0.59598,0.99262,0.75103,0.44624,0.52338,0.38704,0.9492,1.08209,1.10458,0.0001784,0.0001784,0.0001784
140,18510.9,0.82538,0.60293,0.98804,0.72539,0.45562,0.52382,0.3886,0.95114,1.0812,1.10378,0.0001652,0.0001652,0.0001652
141,18674.7,0.82183,0.60757,0.97373,0.75388,0.45957,0.52705,0.38846,0.96322,1.0722,1.11784,0.000152,0.000152,0.000152
142,18806.2,0.80934,0.57797,0.96728,0.74899,0.45613,0.52634,0.39136,0.95423,1.06508,1.10711,0.0001388,0.0001388,0.0001388
143,18937.6,0.81636,0.56245,0.96883,0.74472,0.45858,0.53064,0.39418,0.95176,1.05819,1.10552,0.0001256,0.0001256,0.0001256
144,19068.9,0.80929,0.5538,0.97094,0.73205,0.45464,0.52922,0.39438,0.95782,1.06574,1.10921,0.0001124,0.0001124,0.0001124
145,19200.4,0.80337,0.54991,0.96379,0.73391,0.45858,0.52774,0.39169,0.95915,1.07743,1.10922,9.92e-05,9.92e-05,9.92e-05
146,19332.1,0.8003,0.55067,0.96851,0.75426,0.44872,0.52783,0.39336,0.9567,1.08187,1.10829,8.6e-05,8.6e-05,8.6e-05
147,19463.5,0.80318,0.53899,0.96411,0.69586,0.47159,0.52727,0.39232,0.95632,1.08456,1.10937,7.28e-05,7.28e-05,7.28e-05
148,19594.9,0.80162,0.53093,0.96181,0.69417,0.47455,0.52747,0.39289,0.95534,1.07662,1.1093,5.96e-05,5.96e-05,5.96e-05
149,19726.3,0.79021,0.5387,0.96297,0.68551,0.4714,0.52656,0.39233,0.95236,1.07748,1.10487,4.64e-05,4.64e-05,4.64e-05
150,19857.6,0.78748,0.53302,0.95949,0.69572,0.47239,0.52543,0.39329,0.94878,1.07553,1.10267,3.32e-05,3.32e-05,3.32e-05
